EVI.1,EVI.2,EVI.3,EVI.4,EVI.5,EVI.6,EVI.7,EVI.8,EVI.9,EVI.10,EVI.11,EVI.12,EVI.13,EVI.14,EVI.15,EVI.16,EVI.17,EVI.18,EVI.19,EVI.20,EVI.21,EVI.22,EVI.23,mean,max,min,staD,median,sum,longitude,latitude,ano_safra
0.1721625,0.1570875,0.1460875,0.150675,0.1604,0.1737625,0.211275,0.252425,0.2880875,0.3252875,0.339325,0.3748,0.4372125,0.50365,0.575625,0.5764125,0.5130125,0.4367375,0.3527375,0.3012375,0.2846375,0.2607,0.228175,0.3139788043,0.5764125,0.1460875,0.137874889,0.2880875,7.2215125,-52.450623,-12.333068,2009_2010
0.1520125,0.1404,0.1394875,0.1463,0.15055,0.1657875,0.2016,0.251425,0.292475,0.3116125,0.303825,0.318925,0.4004,0.50615,0.5991375,0.6484,0.5993125,0.483575,0.379025,0.2841375,0.231525,0.2254,0.2198625,0.3109271739,0.6484,0.1394875,0.1590987265,0.2841375,7.151325,-52.448377,-12.333068,2009_2010
0.1965375,0.18155,0.17835,0.192625,0.202975,0.2097625,0.236125,0.2665875,0.2842625,0.2931125,0.287,0.3125,0.412625,0.527125,0.6117375,0.635525,0.5565,0.4407375,0.3503,0.28245,0.2624875,0.2710625,0.2800625,0.3248695652,0.635525,0.17835,0.1390418422,0.28245,7.472,-52.446132,-12.333068,2009_2010
0.412425,0.4314625,0.4574625,0.43235,0.4067125,0.419075,0.4105375,0.4353625,0.45325,0.404325,0.36585,0.357225,0.378875,0.4488625,0.52555,0.5232375,0.4892875,0.464975,0.434975,0.436775,0.4506,0.4522,0.4538,0.4367467391,0.52555,0.357225,0.041989906,0.4353625,10.045175,-52.443888,-12.333068,2009_2010
0.440875,0.4575875,0.4564125,0.4205625,0.4134625,0.3952375,0.37145,0.40265,0.4412875,0.4430875,0.42625,0.4071125,0.390675,0.4196375,0.4911375,0.519275,0.488175,0.457975,0.4369125,0.4207,0.4299875,0.4540875,0.4852,0.4378146739,0.519275,0.37145,0.0357047084,0.4369125,10.0697375,-52.441643,-12.333068,2009_2010
0.3943375,0.4109,0.387575,0.3564375,0.3386125,0.3380375,0.3574375,0.370275,0.397075,0.4188625,0.4356,0.4645,0.479875,0.4926125,0.5181875,0.4972625,0.4387,0.38545,0.3340875,0.3286375,0.3539625,0.372225,0.374425,0.4019597826,0.5181875,0.3286375,0.0569235116,0.387575,9.245075,-52.439397,-12.333068,2009_2010
0.50545,0.508,0.52715,0.522075,0.502775,0.494775,0.5084125,0.538875,0.557875,0.56585,0.5362,0.5224,0.52485,0.521725,0.542025,0.5172625,0.472375,0.452025,0.4353125,0.4524875,0.4959875,0.5349875,0.5567125,0.5128516304,0.56585,0.4353125,0.0342126383,0.521725,11.7955875,-52.437153,-12.333068,2009_2010
0.536525,0.5625875,0.593525,0.6029875,0.5957375,0.6036625,0.6297625,0.6596125,0.6765625,0.648075,0.588225,0.554875,0.5373,0.5204875,0.521025,0.5169,0.5154125,0.5363875,0.5472,0.5439875,0.5558875,0.5655625,0.5779,0.573486413,0.6765625,0.5154125,0.0468428564,0.5625875,13.1901875,-52.434908,-12.333068,2009_2010
0.5123625,0.5246875,0.53665,0.546575,0.5509625,0.574375,0.5858125,0.580625,0.5859,0.565,0.541525,0.5463375,0.538675,0.516675,0.5142125,0.51415,0.5120875,0.5231875,0.5288875,0.516575,0.5195125,0.5425,0.5592,0.5407163043,0.5859,0.5120875,0.0245633606,0.538675,12.436475,-52.432662,-12.333068,2009_2010
0.486475,0.5034375,0.5009375,0.4926625,0.480525,0.483775,0.4949,0.5152875,0.5203625,0.48335,0.459225,0.446875,0.4511875,0.4758125,0.4857125,0.4818875,0.488975,0.497775,0.495125,0.5016625,0.5021125,0.500225,0.5131875,0.4896293478,0.5203625,0.446875,0.0186914041,0.4926625,11.261475,-52.430417,-12.333068,2009_2010
